Year,Region,Passenger_Journeys
1996,East Midlands,14468747
1997,East Midlands,15479450
1998,East Midlands,16947818
1999,East Midlands,18298683
2000,East Midlands,19719650
2001,East Midlands,19813952
2002,East Midlands,20763716
2003,East Midlands,21734473
2004,East Midlands,23002988
2005,East Midlands,23167253
2006,East Midlands,23742533
2007,East Midlands,25218349
2008,East Midlands,26013282
2010,East Midlands,27802066
2011,East Midlands,29041963
2012,East Midlands,30116524
2013,East Midlands,30518497
2014,East Midlands,30822048
2015,East Midlands,32385686
2016,East Midlands,33637139
2017,East Midlands,34768542
2018,East Midlands,35466425
2019,East Midlands,36402910
2020,East Midlands,35876553
2021,East Midlands,7081190
2022,East Midlands,24103052
2024,East Midlands,32615884
2025,East Midlands,36384352
1996,East Of England,78832121
1997,East Of England,87301094
1998,East Of England,94249200
1999,East Of England,100220532
2000,East Of England,108557897
2001,East Of England,111154665
2002,East Of England,113973480
2003,East Of England,117534795
2004,East Of England,121625489
2005,East Of England,124008975
2006,East Of England,126299408
2008,East Of England,146019851
2009,East Of England,145716907
2010,East Of England,139442542
2011,East Of England,148134085
2012,East Of England,153084052
2013,East Of England,159253703
2014,East Of England,165205285
2015,East Of England,172664647
2016,East Of England,180028674
2017,East Of England,185466699
2018,East Of England,188536071
2019,East Of England,193737951
2020,East Of England,186405291
2021,East Of England,39609133
2022,East Of England,106757808
2024,East Of England,162785386
2025,East Of England,173394960
1996,London,378888397
1997,London,405806254
1998,London,433693914
1999,London,457850737
2000,London,483952631
2001,London,491685463
2002,London,493068348
2003,London,505346458
2004,London,502013645
2005,London,502774512
2006,London,502424737
2008,London,653099513
2009,London,639347588
2010,London,632228180
2011,London,706259248
2012,London,752225508
2013,London,787471288
2014,London,834527712
2015,London,878042345
2016,London,934587926
2017,London,930458850
2018,London,926517428
2019,London,959746065
2020,London,940480157
2021,London,214470159
2022,London,532324805
2024,London,951909216
2025,London,1008669424
1996,North East,7564665
1997,North East,8032264
1998,North East,8662088
1999,North East,9122453
2000,North East,9577186
2001,North East,8843394
2002,North East,9246165
2003,North East,8987980
2004,North East,10074282
2005,North East,10619257
2006,North East,11271258
2007,North East,11610566
2008,North East,12151918
2010,North East,13140246
2011,North East,13751732
2012,North East,14181280
2013,North East,14252085
2014,North East,14775644
2015,North East,14985066
2016,North East,15178980
2017,North East,15580022
2018,North East,15984156
2019,North East,16256412
2020,North East,16164492
2021,North East,3171094
2022,North East,13175666
2024,North East,16755340
2025,North East,19090870
1996,North West,39849928
1997,North West,44121543
1998,North West,49199460
1999,North West,50009344
2000,North West,52881538
2001,North West,51924157
2002,North West,51729669
2003,North West,51021748
2004,North West,55503124
2005,North West,58678278
2006,North West,64043925
2007,North West,67166988
2008,North West,71662673
2010,North West,106097717
2011,North West,111556187
2012,North West,115181700
2013,North West,113920859
2014,North West,121740968
2015,North West,124877514
2016,North West,128005142
2017,North West,133965694
2018,North West,134409828
2021,North West,30624420
2022,North West,94038809
2024,North West,118568324
2025,North West,131415264
1996,Scotland,48943535
1997,Scotland,49752224
1998,Scotland,53057461
1999,Scotland,55053537
2000,Scotland,57613634
2001,Scotland,57269078
2002,Scotland,55651493
2003,Scotland,54800215
2004,Scotland,58394571
2005,Scotland,63689596
2006,Scotland,69331002
2007,Scotland,72555907
2008,Scotland,75635600
2010,Scotland,79794481
2011,Scotland,83198414
2012,Scotland,87139836
2013,Scotland,89628340
2015,Scotland,96073134
2016,Scotland,97561975
2017,Scotland,98757519
2018,Scotland,101950609
2019,Scotland,101949542
2020,Scotland,99559139
2021,Scotland,15565829
2022,Scotland,52519149
2024,Scotland,84871106
2025,Scotland,89440324
1996,South East,145829758
1997,South East,154514925
1998,South East,164205771
1999,South East,172686683
2000,South East,185580054
2001,South East,191179688
2002,South East,192069374
2003,South East,196184950
2004,South East,201152547
2005,South East,208336063
2006,South East,214374380
2008,South East,254273555
2009,South East,257516670
2010,South East,253373152
2011,South East,266579457
2012,South East,276831033
2013,South East,281924150
2014,South East,289112859
2015,South East,298550758
2016,South East,303516968
2017,South East,300218489
2018,South East,303821584
2019,South East,314277724
2020,South East,306098293
2021,South East,62181472
2022,South East,173127364
2024,South East,255307700
2025,South East,279285698
1996,South West,21731543
1997,South West,22717462
1998,South West,24334538
1999,South West,25005499
2000,South West,26189477
2001,South West,26260348
2002,South West,27051883
2003,South West,28712360
2004,South West,29969184
2005,South West,30804328
2006,South West,32069914
2007,South West,34434758
2008,South West,37028597
2009,South West,39877429
2010,South West,40180775
2011,South West,43175168
2012,South West,45977753
2013,South West,46607707
2014,South West,47447847
2015,South West,49458198
2016,South West,50640181
2017,South West,52432117
2018,South West,52193056
2019,South West,52139763
2020,South West,52160970
2021,South West,12131011
2022,South West,36962842
2024,South West,50890192
2025,South West,55657870
1996,Wales,14486722
1997,Wales,14881945
1998,Wales,15347229
1999,Wales,15360369
2000,Wales,16609401
2001,Wales,16993759
2002,Wales,18141092
2003,Wales,18689250
2004,Wales,19538432
2005,Wales,19889839
2006,Wales,20428335
2007,Wales,21874694
2008,Wales,23881547
2009,Wales,25324766
2010,Wales,26044834
2011,Wales,27274385
2012,Wales,28097882
2013,Wales,28405149
2014,Wales,28845749
2015,Wales,29325948
2016,Wales,30312694
2017,Wales,30450701
2018,Wales,31030148
2019,Wales,31091437
2020,Wales,29911840
2021,Wales,5135653
2022,Wales,17706024
2024,Wales,26663188
2025,Wales,30027094
1996,West Midlands,23000869
1997,West Midlands,24986089
1998,West Midlands,27000330
1999,West Midlands,28794247
2000,West Midlands,29757455
2001,West Midlands,29264100
2002,West Midlands,30433752
2003,West Midlands,31435689
2004,West Midlands,33261507
2005,West Midlands,34468553
2006,West Midlands,37024051
2007,West Midlands,39935889
2008,West Midlands,42290006
2010,West Midlands,61421935
2011,West Midlands,63975961
2013,West Midlands,74051095
2014,West Midlands,78216085
2015,West Midlands,80562727
2016,West Midlands,86800598
2017,West Midlands,91457259
2018,West Midlands,95073488
2019,West Midlands,100958964
2020,West Midlands,99445323
2021,West Midlands,18170238
2022,West Midlands,54033273
2024,West Midlands,76772754
2025,West Midlands,85088786
1996,Yorkshire And The Humber,25134092
1997,Yorkshire And The Humber,27339038
1998,Yorkshire And The Humber,29939451
1999,Yorkshire And The Humber,31749610
2000,Yorkshire And The Humber,33948117
2001,Yorkshire And The Humber,32347478
2002,Yorkshire And The Humber,32048342
2003,Yorkshire And The Humber,33151226
2004,Yorkshire And The Humber,37743517
2005,Yorkshire And The Humber,40695061
2006,Yorkshire And The Humber,43098723
2007,Yorkshire And The Humber,45054195
2008,Yorkshire And The Humber,46872718
2010,Yorkshire And The Humber,55895631
2011,Yorkshire And The Humber,60817433
2012,Yorkshire And The Humber,62991144
2013,Yorkshire And The Humber,64257249
2014,Yorkshire And The Humber,66050651
2015,Yorkshire And The Humber,69251686
2016,Yorkshire And The Humber,70818096
2017,Yorkshire And The Humber,73286426
2018,Yorkshire And The Humber,73811690
2019,Yorkshire And The Humber,73385081
2020,Yorkshire And The Humber,73783572
2021,Yorkshire And The Humber,15282453
2022,Yorkshire And The Humber,51452341
2024,Yorkshire And The Humber,64592148
2025,Yorkshire And The Humber,72022434
